EarthRef.org -- GERM Reservoir Database
Database development and maintenance by the PACER Team

DATA:
Reservoir	Z	Element	Value	Median	SD	Low	High	N	Unit	Reference	Computation	Notes	Inserted
CI Chondrites	92	U	7.4						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	92	U	8.2						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	23	V	56						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	23	V	56						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	23	V	55						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	74	W	93						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	74	W	100						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	74	W	93						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	39	Y	1.57						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	39	Y	1.44						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	39	Y	1.57						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	70	Yb	161						ppb	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	70	Yb	165						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	70	Yb	159						ppb	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	30	Zn	310						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
CI Chondrites	30	Zn	347						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	30	Zn	312						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	40	Zr	3.8						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Wasson & Kallemeyn 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	40	Zr	3.87						ppm	McDonough & Sun 1995	Average	C1 Carbonaceous chondrite major and minor element compositions as given in Palme 1988. These values are given in an effort to accurately represent the C1 chondrites as based on an array of sources and derive a revised model for the composition of the Earth.	22-MAR-2000
CI Chondrites	40	Zr	3.82						ppm	McDonough & Sun 1995	Average	Based on measurements on 3 out of 5 carbonaceous chrondrites namely Orgueil, Ivuna and Alais.	20-FEB-1999
Core	27	Co				.24	.26		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	24	Cr				.8	.95		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Cr/Mn				1.8	1.8			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Cr/V				67	79			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	26	Fe				78	87.5		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Fe/Cr				98	92			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Fe/Ni				16	16			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	25	Mn				.45	.5		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	28	Ni				4.9	5.4		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Ni/Co				20.8	20.8			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core		Ni/P				10	11			McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	15	P				.5	.5		wt%	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Core	23	V				120	120		ppm	McDonough & Sun 1995	Model	Limits on the composition of the core assuming that between 5% and 15% of the light elements reside in the Earth's core. Model based on the silicate Earth estimates from Table 5.	23-FEB-1999
Enstatite Chondrites		Al/Mg	.075		.003					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Al/Sc	.145		.007					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Al/Ti	18.5		3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Al/Yb	5.5		.35					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Ca/Al	1.1		.08					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Ca/Sc	.143		.014					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Ca/Ti	19.1		2.2					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Ca/Yb	5.46		.51					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Cr/Mn	1.54		.13					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Cr/V	55		5					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Fe/Al	35		3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the high-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Al	21		4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the low-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Cr	90		6					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the low-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Cr	72		14					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the high-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Mg	1.6		.2					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the low-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Mg	2.6		.2					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the high-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Fe/Ni	16.5		.8					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Mg/Cr	45		8					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the high-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Mg/Cr	35		4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH. This average represents the low-Fe group of chondrites.	23-FEB-1999
Enstatite Chondrites		Mg/Si	.7		.07					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Mg/V	.204		.025					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Na/K	8.4		.8					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Os/Ir	1.15		.06					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Sc/Yb	37.9		3.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Sm/Yb	.86		.05					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Enstatite Chondrites		Ti/Sc	74		7					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including EL and EH.	23-FEB-1999
Ordinary Chondrites		Al/Mg	.081		.002					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Al/Sc	.145		.005					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Al/Ti	19.6		.9					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Al/Yb	5.45		.24					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Ca/Al	1.08		.04					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Ca/Sc	.156		.006					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Ca/Ti	21		1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Ca/Yb	5.88		.3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Cr/Mn	1.51		.08					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Cr/V	50		1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Fe/Al	24		1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the high-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Al	17		1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the low-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Cr	53		4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the low-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Cr	74		4					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the high-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Mg	1.9		.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the high-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Mg	1.4		.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H. This average represents the low-Fe group of chondrites.	23-FEB-1999
Ordinary Chondrites		Fe/Ni	17.5		1.1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Mg/Cr	39		1					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Mg/Si	.81		.03					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Mg/V	.195		.006					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Na/K	8.2		.6					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Os/Ir	1.07		.03					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Sc/Yb	37.7		1.9					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Sm/Yb	.9		.04					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Ordinary Chondrites		Ti/Sc	75		3					McDonough & Sun 1995	Average	Element ratios were determined on relatively unaltered chondritic meteorites including L, LL and H.	23-FEB-1999
Primitive Mantle	47	Ag	8						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	13	Al	4.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	13	Al	4.45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	13	Al	3.65						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	13	Al	2.35		.235				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	13	Al	3.97						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	33	As	.05						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	79	Au	1						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	5	B	.3						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	56	Ba	6600		660				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	4	Be	.068		.0136				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	83	Bi	2.5		.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	35	Br	.05						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	6	C	120						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	20	Ca	3.55						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	20	Ca	2.53		.253				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	20	Ca	3.5						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	20	Ca	2.9						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	20	Ca	3.4						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	48	Cd	40		12				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	58	Ce	1675		168				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	17	Cl	17						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	27	Co	105		10.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	24	Cr	.45						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	24	Cr	.46						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	24	Cr	.384						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	24	Cr	2625		393.75				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	24	Cr	.44						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle		Cr/Mn	2.5							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle		Cr/V	32							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle	55	Cs	21		8.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	29	Cu	30		4.5				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	66	Dy	674		67.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	68	Er	438		43.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	63	Eu	154		15.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	9	F	25						ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	26	Fe	8.05						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	26	Fe	7.82						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	26	Fe	8						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	26	Fe	6.26		.626				wt%	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	26	Fe	7.6						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle		Fe/Al	2.7							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle		Fe/Cr	23.8							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle		Fe/Ni	31.9							McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.and basalts.	23-FEB-1999
Primitive Mantle	31	Ga	4		.4				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	64	Gd	544		54.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	32	Ge	1.1		.165				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	72	Hf	283		28.3				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	80	Hg	10						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	67	Ho	149		14.9				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	53	I	10						ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	49	In	11		4.4				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	77	Ir	3.2		.96				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	19	K	.031						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	19	K	.029						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
Primitive Mantle	19	K	.003						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the MORB-harzburgite model according to Green et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	19	K	.022						wt%ox	McDonough & Sun 1995	Model	Bulk silicate Earth model based on C1 Carbonaceous Chondrite values of major element oxides as taken from Taylor and McLennan 1985.	22-MAR-2000
Primitive Mantle	19	K	240		48				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	57	La	648		64.8				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	3	Li	1.6		.48				ppm	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	71	Lu	67.5		6.75				ppb	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts. Error estimate is subjective.	31-JAN-1996
Primitive Mantle	12	Mg	38.3						wt%ox	McDonough & Sun 1995	Model	Pyrolite model of the silicate Earth based on the least depleted ultramafic xenolith model according to Jagoutz et al. 1979. Compositions are given in weight percent per silicate oxide.	22-MAR-2000
Primitive Mantle	12	Mg	37.8						wt%ox	McDonough & Sun 1995	Model	Pyrolite model for the silicate Earth composition based on peridotites, komatiites and basalts.	23-FEB-1999
